Path,Count,Percentage,Types,Registration Types
"_id",157,100.00%,"string","individuals: 133; lodge: 24"
"status",157,100.00%,"string","individuals: 133; lodge: 24"
"subtotal",157,100.00%,"object, number","individuals: 133; lodge: 24"
"registrationId",157,100.00%,"string","individuals: 133; lodge: 24"
"totalAmountPaid",157,100.00%,"object, number","individuals: 133; lodge: 24"
"paymentStatus",157,100.00%,"string","individuals: 133; lodge: 24"
"stripePaymentIntentId",157,100.00%,"string, null","individuals: 133; lodge: 24"
"registrationType",157,100.00%,"string","individuals: 133; lodge: 24"
"createdAt",157,100.00%,"string","individuals: 133; lodge: 24"
"updatedAt",157,100.00%,"string","individuals: 133; lodge: 24"
"registrationData",157,100.00%,"object","individuals: 133; lodge: 24"
"registrationData.bookingContact",157,100.00%,"object","individuals: 133; lodge: 24"
"registrationData.bookingContact.city",157,100.00%,"string","individuals: 133; lodge: 24"
"registrationData.bookingContact.title",157,100.00%,"string","individuals: 133; lodge: 24"
"registrationData.bookingContact.country",157,100.00%,"string","individuals: 133; lodge: 24"
"registrationData.bookingContact.lastName",157,100.00%,"string","individuals: 133; lodge: 24"
"registrationData.bookingContact.firstName",157,100.00%,"string","individuals: 133; lodge: 24"
"registrationData.bookingContact.addressLine1",157,100.00%,"string","individuals: 133; lodge: 24"
"confirmationNumber",157,100.00%,"string, null","individuals: 133; lodge: 24"
"squarePaymentId",157,100.00%,"null, string","individuals: 133; lodge: 24"
"functionId",153,97.45%,"string","individuals: 129; lodge: 24"
"attendeeCount",153,97.45%,"number","individuals: 129; lodge: 24"
"customerId",148,94.27%,"string","individuals: 124; lodge: 24"
"registrationDate",148,94.27%,"null, string","individuals: 124; lodge: 24"
"totalPricePaid",148,94.27%,"null, number, object","individuals: 124; lodge: 24"
"agreeToTerms",148,94.27%,"boolean","individuals: 124; lodge: 24"
"primaryAttendeeId",148,94.27%,"null","individuals: 124; lodge: 24"
"organisationId",148,94.27%,"string, null","individuals: 124; lodge: 24"
